photon_energy,axion_mass,flux
6.456756756756756310e+00,0.000000000000000000e+00,2.725857014418720858e+00
6.475675675675675258e+00,0.000000000000000000e+00,2.702548033015821805e+00
6.494594594594594206e+00,0.000000000000000000e+00,2.679382717036794315e+00
6.513513513513513153e+00,0.000000000000000000e+00,2.656361133443156941e+00
6.532432432432432101e+00,0.000000000000000000e+00,2.633483328026609005e+00
6.551351351351351049e+00,0.000000000000000000e+00,2.610749325829276657e+00
6.570270270270269997e+00,0.000000000000000000e+00,2.588159131559106374e+00
6.589189189189188944e+00,0.000000000000000000e+00,2.565712730000381026e+00
6.608108108108107892e+00,0.000000000000000000e+00,2.543410086419411353e+00
6.627027027027026840e+00,0.000000000000000000e+00,2.521251146965374446e+00
6.645945945945945788e+00,0.000000000000000000e+00,2.499235839066324960e+00
6.664864864864864735e+00,0.000000000000000000e+00,2.477364071820425284e+00
6.683783783783783683e+00,0.000000000000000000e+00,2.455635736382352885e+00
6.702702702702702631e+00,0.000000000000000000e+00,2.434050706344953241e+00
6.721621621621620690e+00,0.000000000000000000e+00,2.412608838116125920e+00
6.740540540540539638e+00,0.000000000000000000e+00,2.391309971290977554e+00
6.759459459459458586e+00,0.000000000000000000e+00,2.370153929019254146e+00
6.778378378378377533e+00,0.000000000000000000e+00,2.349140518368071806e+00
6.797297297297296481e+00,0.000000000000000000e+00,2.328269530679982324e+00
6.816216216216215429e+00,0.000000000000000000e+00,2.307540741926376704e+00
6.835135135135134377e+00,0.000000000000000000e+00,2.286953913056259946e+00
6.854054054054053324e+00,0.000000000000000000e+00,2.266508790340426849e+00
6.872972972972972272e+00,0.000000000000000000e+00,2.246205105711048589e+00
6.891891891891891220e+00,0.000000000000000000e+00,2.226042577096713160e+00
6.910810810810810167e+00,0.000000000000000000e+00,2.206020908752927223e+00
6.929729729729729115e+00,0.000000000000000000e+00,2.186139791588135761e+00
6.948648648648648951e+00,0.000000000000000000e+00,2.166398903485245775e+00
6.967567567567567899e+00,0.000000000000000000e+00,2.146797909618716194e+00
6.986486486486486847e+00,0.000000000000000000e+00,2.127336462767237979e+00
7.005405405405405794e+00,0.000000000000000000e+00,2.108014203622016414e+00
7.024324324324324742e+00,0.000000000000000000e+00,2.088830761090702648e+00
7.043243243243242802e+00,0.000000000000000000e+00,2.069785752597003814e+00
7.062162162162161749e+00,0.000000000000000000e+00,2.050878784375985031e+00
7.081081081081080697e+00,0.000000000000000000e+00,2.032109451765125030e+00
7.099999999999999645e+00,0.000000000000000000e+00,2.013477339491124063e+00
7.118918918918918592e+00,0.000000000000000000e+00,1.994982021952531159e+00
7.137837837837837540e+00,0.000000000000000000e+00,1.976623063498182287e+00
7.156756756756756488e+00,0.000000000000000000e+00,1.958400018701528245e+00
